change_type,covered_recipient_type,teaching_hospital_ccn,teaching_hospital_id,teaching_hospital_name,covered_recipient_profile_id,covered_recipient_npi,covered_recipient_first_name,covered_recipient_middle_name,covered_recipient_last_name,covered_recipient_name_suffix,recipient_primary_business_street_address_line1,recipient_primary_business_street_address_line2,recipient_city,recipient_state,recipient_zip_code,recipient_country,recipient_province,recipient_postal_code,covered_recipient_primary_type_1,covered_recipient_primary_type_2,covered_recipient_primary_type_3,covered_recipient_primary_type_4,covered_recipient_primary_type_5,covered_recipient_primary_type_6,covered_recipient_specialty_1,covered_recipient_specialty_2,covered_recipient_specialty_3,covered_recipient_specialty_4,covered_recipient_specialty_5,covered_recipient_specialty_6,covered_recipient_license_state_code1,covered_recipient_license_state_code2,covered_recipient_license_state_code3,covered_recipient_license_state_code4,covered_recipient_license_state_code5,submitting_applicable_manufacturer_or_applicable_gpo_name,applicable_manufacturer_or_applicable_gpo_making_payment_id,applicable_manufacturer_or_applicable_gpo_making_payment_name,applicable_manufacturer_or_applicable_gpo_making_payment_state,applicable_manufacturer_or_applicable_gpo_making_payment_country,total_amount_of_payment_usdollars,date_of_payment,number_of_payments_included_in_total_amount,form_of_payment_or_transfer_of_value,nature_of_payment_or_transfer_of_value,city_of_travel,state_of_travel,country_of_travel,physician_ownership_indicator,third_party_payment_recipient_indicator,name_of_third_party_entity_receiving_payment_or_transfer_of_ccfc,charity_indicator,third_party_equals_covered_recipient_indicator,contextual_information,delay_in_publication_indicator,record_id,dispute_status_for_publication,related_product_indicator,covered_or_noncovered_indicator_1,indicate_drug_or_biological_or_device_or_medical_supply_1,product_category_or_therapeutic_area_1,name_of_drug_or_biological_or_device_or_medical_supply_1,associated_drug_or_biological_ndc_1,associated_device_or_medical_supply_pdi_1,covered_or_noncovered_indicator_2,indicate_drug_or_biological_or_device_or_medical_supply_2,product_category_or_therapeutic_area_2,name_of_drug_or_biological_or_device_or_medical_supply_2,associated_drug_or_biological_ndc_2,associated_device_or_medical_supply_pdi_2,covered_or_noncovered_indicator_3,indicate_drug_or_biological_or_device_or_medical_supply_3,product_category_or_therapeutic_area_3,name_of_drug_or_biological_or_device_or_medical_supply_3,associated_drug_or_biological_ndc_3,associated_device_or_medical_supply_pdi_3,covered_or_noncovered_indicator_4,indicate_drug_or_biological_or_device_or_medical_supply_4,product_category_or_therapeutic_area_4,name_of_drug_or_biological_or_device_or_medical_supply_4,associated_drug_or_biological_ndc_4,associated_device_or_medical_supply_pdi_4,covered_or_noncovered_indicator_5,indicate_drug_or_biological_or_device_or_medical_supply_5,product_category_or_therapeutic_area_5,name_of_drug_or_biological_or_device_or_medical_supply_5,associated_drug_or_biological_ndc_5,associated_device_or_medical_supply_pdi_5,program_year,payment_publication_date
NEW,"Covered Recipient Teaching Hospital",220071,11357,"MASSACHUSETTS GENERAL HOSPITAL",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Pfizer Inc.",100000000286,"PFIZER INC.",NY,"United States",5000.00,12/02/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,949503957,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St",,Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Abbott Laboratories",100000010680,"Abbott Laboratories",IL,"United States",10000.00,10/18/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,918001219,No,Yes,Covered,Device,"Structural Heart","AMPLATZER PICCOLO",,05415067031051,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"AstraZeneca Pharmaceuticals LP",100000000146,"AstraZeneca Pharmaceuticals LP",DE,"United States",916471.48,05/17/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,914757257,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"AstraZeneca Pharmaceuticals LP",100000000146,"AstraZeneca Pharmaceuticals LP",DE,"United States",305490.50,01/25/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,914856829,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",15700.00,02/24/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,946084109,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 FRUIT ST","BULFINCH 360",BOSTON,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Dr.Reddy's Laboratories,Inc.",100000005388,"Dr.Reddy's Laboratories,Inc.",NJ,"United States",66500.00,04/29/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,937130215,No,Yes,Covered,Drug,Neurology,Levetiracetam,43598-635-10,,Covered,Drug,Neurology,"Divalproex Sodium",55111-533-05,,Covered,Drug,Neurology,Lamotrigine,55111-226-05,,Covered,Drug,Neurology,Pregabalin,43598-291-90,,Non-Covered,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"MASSACHUSETTS GENERAL HOSPITAL",,,,,,,"55 FRUIT STREET",,BOSTON,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Heidelberg Engineering, Inc.",100000010620,"Heidelberg Engineering, Inc.",MA,"United States",31891.75,07/22/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,912754205,No,Yes,Covered,Device,"Ophthalmology Imaging Equipment",Spectralis,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,"United States",9030.00,08/15/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887131802,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,"United States",5000.00,08/15/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887131805,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,"United States",12450.00,10/03/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887131809,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit Street",,Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"National Marrow Donor Program",100001071883,"National Marrow Donor Program",MN,"United States",15135.00,01/28/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,924687363,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit Street",,Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"National Marrow Donor Program",100001071883,"National Marrow Donor Program",MN,"United States",17670.00,04/29/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,924687351,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit Street",,Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"National Marrow Donor Program",100001071883,"National Marrow Donor Program",MN,"United States",21465.00,10/21/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,924687359,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit Street",,Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"National Marrow Donor Program",100001071883,"National Marrow Donor Program",MN,"United States",15920.00,08/05/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,924687355,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit Street",,Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"New York Blood Center, Inc.",100000010634,"New York Blood Center, Inc.",NY,"United States",8165.76,02/28/2022,6,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,964017485,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"MASSACHUSETTS GENERAL HOSPITAL",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Pfizer Inc.",100000000286,"PFIZER INC.",NY,"United States",52174.00,12/09/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,949503961,No,Yes,Covered,Drug,GASTROINTESTINAL;INFLAMMATION;OPHTHALMOLOGY;TRANSPLANT,XELJANZ,0069-1001-01,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Siemens Medical Solutions USA, Inc.",100000010755,"Siemens Medical Solutions USA, Inc.",PA,"United States",1500.00,06/17/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,892282181,No,Yes,Covered,Device,"CT and RO incl. Computed Tomography and Radiation Oncology","Somatom Force",,04056869006956,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",3.43,03/08/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313389,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",6.86,03/08/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313393,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",10.29,03/08/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313397,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",3.43,03/08/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313403,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",6.86,03/18/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313405,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",6.86,03/18/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313409,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",3.43,03/18/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313415,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",3.43,03/22/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313427,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",3.43,03/18/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313417,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",3.43,03/22/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313421,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",3.43,03/25/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313429,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",16.42,04/05/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313433,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",19.70,04/06/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313439,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Sterilmed, Inc.",100000005447,"SterilMed, Inc.",MN,"United States",3.28,04/13/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887313451,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
